start...
Finetuning mode
Load outputs/2022-09-10-11-12-34/trained_model/tetris_epoch110_score26900.pt...
Epoch: 197 / 100000, Score: 1500,  block: 57,  Reward: -47.1258 Cleared lines: 14, col: 7/2/1/0 
Epoch: 198 / 100000, Score: 15200,  block: 301,  Reward: -92.3001 Cleared lines: 123, col: 80/14/5/0 
Epoch: 199 / 100000, Score: 14900,  block: 301,  Reward: -178.7615 Cleared lines: 120, col: 72/18/4/0 
Epoch: 200 / 100000, Score: 13900,  block: 301,  Reward: -119.7356 Cleared lines: 122, col: 78/22/0/0 
Epoch: 201 / 100000, Score: 14400,  block: 301,  Reward: -110.6950 Cleared lines: 121, col: 75/20/2/0 
Epoch: 202 / 100000, Score: -500,  block: 16,  Reward: -17.6895 Cleared lines: 0, col: 0/0/0/0 
Epoch: 203 / 100000, Score: 13400,  block: 301,  Reward: -110.2146 Cleared lines: 116, col: 70/23/0/0 
Epoch: 204 / 100000, Score: 15600,  block: 301,  Reward: -125.6513 Cleared lines: 120, col: 67/20/3/1 
Epoch: 205 / 100000, Score: 13800,  block: 301,  Reward: -134.2984 Cleared lines: 122, col: 85/17/1/0 
Epoch: 206 / 100000, Score: 14600,  block: 301,  Reward: -124.6926 Cleared lines: 121, col: 66/26/1/0 
Epoch: 207 / 100000, Score: 15100,  block: 301,  Reward: -187.9351 Cleared lines: 119, col: 65/21/4/0 
Epoch: 208 / 100000, Score: 15700,  block: 301,  Reward: -133.0977 Cleared lines: 121, col: 68/20/3/1 
Epoch: 209 / 100000, Score: 2000,  block: 71,  Reward: -77.6449 Cleared lines: 18, col: 9/3/1/0 
Epoch: 210 / 100000, Score: 15100,  block: 301,  Reward: -115.5332 Cleared lines: 122, col: 83/13/3/1 
Epoch: 211 / 100000, Score: 14400,  block: 301,  Reward: -117.5213 Cleared lines: 122, col: 83/15/3/0 
Epoch: 212 / 100000, Score: 1500,  block: 59,  Reward: -48.5285 Cleared lines: 17, col: 11/3/0/0 
Epoch: 213 / 100000, Score: 2900,  block: 79,  Reward: -69.2937 Cleared lines: 22, col: 12/3/0/1 
Epoch: 214 / 100000, Score: 15100,  block: 301,  Reward: -123.9134 Cleared lines: 121, col: 66/23/3/0 
Epoch: 215 / 100000, Score: 2300,  block: 78,  Reward: -85.4703 Cleared lines: 22, col: 10/6/0/0 
Epoch: 216 / 100000, Score: 5700,  block: 128,  Reward: -103.3300 Cleared lines: 43, col: 24/6/1/1 
Epoch: 217 / 100000, Score: 15400,  block: 301,  Reward: -121.0344 Cleared lines: 121, col: 74/17/3/1 
Epoch: 218 / 100000, Score: 14700,  block: 301,  Reward: -159.9557 Cleared lines: 120, col: 66/24/2/0 
Epoch: 219 / 100000, Score: 15000,  block: 301,  Reward: -142.1721 Cleared lines: 122, col: 80/16/2/1 
Epoch: 220 / 100000, Score: 14800,  block: 301,  Reward: -141.6512 Cleared lines: 121, col: 76/19/1/1 
Epoch: 221 / 100000, Score: 600,  block: 38,  Reward: -34.0119 Cleared lines: 7, col: 4/0/1/0 
Epoch: 222 / 100000, Score: 13800,  block: 301,  Reward: -116.2696 Cleared lines: 120, col: 79/19/1/0 
Epoch: 223 / 100000, Score: 1700,  block: 57,  Reward: -56.6241 Cleared lines: 14, col: 3/4/1/0 
Epoch: 224 / 100000, Score: 1300,  block: 63,  Reward: -61.5271 Cleared lines: 16, col: 12/2/0/0 
Epoch: 225 / 100000, Score: 15100,  block: 301,  Reward: -100.8029 Cleared lines: 122, col: 74/18/4/0 
Epoch: 226 / 100000, Score: 17100,  block: 301,  Reward: -183.4407 Cleared lines: 121, col: 50/26/5/1 
Epoch: 227 / 100000, Score: 6800,  block: 165,  Reward: -127.5894 Cleared lines: 56, col: 27/13/1/0 
Epoch: 228 / 100000, Score: 15600,  block: 301,  Reward: -160.8645 Cleared lines: 120, col: 63/21/5/0 
Epoch: 229 / 100000, Score: 9800,  block: 236,  Reward: -131.8517 Cleared lines: 84, col: 51/15/1/0 
Epoch: 230 / 100000, Score: 13600,  block: 301,  Reward: -101.2769 Cleared lines: 121, col: 86/16/1/0 
Epoch: 231 / 100000, Score: 14100,  block: 301,  Reward: -169.1512 Cleared lines: 118, col: 77/16/3/0 
Epoch: 232 / 100000, Score: 14800,  block: 301,  Reward: -130.8966 Cleared lines: 121, col: 67/24/2/0 
